Date,Hr,Mainland Air Temp,Humidity (%),Direction (A),Wind Speed (A),Gusting,Atmospheric Pressure (IN),Precipitation Rate,Bay Temp,Salinity,LBI Air Temp,Ocean Temp,Onshore,upwelling_flag
6/2/2025,0,-10.1,68.0,10,3.8,6.0,29.86,0.0,17.47,27.7,-7.9,14.3,0,0
6/2/2025,1,-10.2,74.0,12,4.0,6.2,29.88,0.0,17.49,28.2,-8.1,14.2,0,0
6/2/2025,2,-10.7,78.0,11,3.0,5.4,29.88,0.01,17.27,27.93,-8.8,14.2,0,0
6/2/2025,3,-11.5,84.0,12,2.7,6.1,29.88,0.0,17.26,28.41,-9.5,14.2,0,0
6/2/2025,4,-12.1,87.0,13,2.0,3.8,29.89,0.0,16.82,28.42,-10.2,14.2,0,0
6/2/2025,5,-12.4,88.0,13,2.2,3.1,29.9,0.0,17.08,27.98,-10.5,14.2,0,0
6/2/2025,6,-12.8,90.0,15,1.2,2.0,29.91,0.0,17.15,27.59,-10.6,14.1,0,0
6/2/2025,7,-12.4,91.0,14,1.0,2.0,29.93,0.0,17.11,27.36,-10.6,14.1,0,0
6/2/2025,8,-11.2,91.0,14,1.0,1.7,29.94,0.0,17.2,27.15,-10.2,14.0,0,0
6/2/2025,9,-8.7,72.0,0,1.9,4.0,29.96,0.0,17.36,27.13,-9.1,14.0,0,0
6/2/2025,10,-6.7,51.0,8,2.1,6.0,29.96,0.0,17.75,26.59,-8.5,14.0,1,0
6/2/2025,11,-5.1,42.0,10,2.8,4.9,29.97,0.0,18.11,26.05,-7.4,14.0,0,0
6/2/2025,12,-4.6,41.0,4,3.9,9.1,29.97,0.0,18.0,27.3,-7.6,14.0,1,0
6/2/2025,13,-5.0,42.0,10,4.7,9.9,29.97,0.0,17.99,27.24,-7.4,14.3,0,0
6/2/2025,14,-4.9,42.0,6,4.9,9.3,29.96,0.0,17.93,28.04,-7.8,14.7,1,0
6/2/2025,15,-4.7,41.0,9,5.1,8.2,29.95,0.0,17.88,28.26,-7.6,15.1,0,0
6/2/2025,16,-5.3,47.0,10,5.8,9.5,29.93,0.0,17.92,28.6,-7.8,15.4,0,0
6/2/2025,17,-6.0,57.0,10,7.8,12.0,29.94,0.0,18.36,28.73,-7.8,16.3,0,0
6/2/2025,18,-5.8,56.0,8,4.8,9.1,29.94,0.0,18.74,28.58,-7.7,16.4,1,0
6/2/2025,19,-6.4,59.0,8,3.7,8.5,29.94,0.0,18.65,28.48,-7.6,16.0,1,0
6/2/2025,20,-7.0,60.0,10,2.0,3.5,29.94,0.01,18.11,28.52,-7.3,15.6,0,0
6/2/2025,21,-7.7,57.0,10,3.0,4.5,29.96,0.0,18.58,27.71,-6.7,15.2,0,0
6/2/2025,22,-8.8,60.0,10,2.3,3.9,29.99,0.0,18.59,27.08,-7.2,14.9,0,0
6/2/2025,23,-9.4,63.0,10,2.1,4.4,30.02,0.0,18.44,26.81,-7.8,14.8,0,0
6/3/2025,0,-9.9,68.0,10,2.3,4.2,30.02,0.0,18.09,27.42,-8.2,14.8,0,0
6/3/2025,1,-10.6,76.0,10,3.3,5.2,30.01,0.0,18.02,26.96,-8.3,14.6,0,0
6/3/2025,2,-10.9,80.0,10,2.8,5.7,30.01,0.0,17.99,27.01,-8.4,14.6,0,0
6/3/2025,3,-11.4,84.0,11,2.3,4.6,30.01,0.0,17.82,27.81,-8.6,14.5,0,0
