Row number,Date,Hr,Mainland Air Temp,Humidity (%),Direction (A),Wind Speed (A),Gusting,Atmospheric Pressure (IN),Precipitation Rate,Bay Temp,Salinity,LBI Air Temp,Ocean Temp,Onshore,upwelling_flag
26,6/2/2025,0,13.9,68.0,10,3.8,6.0,29.86,0.0,17.47,27.7,17.8,14.3,0,0
27,6/2/2025,1,13.6,74.0,12,4.0,6.2,29.88,0.0,17.49,28.2,17.5,14.2,0,0
28,6/2/2025,2,12.7,78.0,11,3.0,5.4,29.88,0.01,17.27,27.93,16.2,14.2,0,0
29,6/2/2025,3,11.3,84.0,12,2.7,6.1,29.88,0.0,17.26,28.41,14.9,14.2,0,0
30,6/2/2025,4,10.3,87.0,13,2.0,3.8,29.89,0.0,16.82,28.42,13.7,14.2,0,0
31,6/2/2025,5,9.6,88.0,13,2.2,3.1,29.9,0.0,17.08,27.98,13.1,14.2,0,0
32,6/2/2025,6,9.0,90.0,15,1.2,2.0,29.91,0.0,17.15,27.59,13.0,14.1,0,0
33,6/2/2025,7,9.6,91.0,14,1.0,2.0,29.93,0.0,17.11,27.36,12.9,14.1,0,0
34,6/2/2025,8,11.9,91.0,14,1.0,1.7,29.94,0.0,17.2,27.15,13.6,14.0,0,0
35,6/2/2025,9,16.4,72.0,0,1.9,4.0,29.96,0.0,17.36,27.13,15.6,14.0,0,0
36,6/2/2025,10,20.0,51.0,8,2.1,6.0,29.96,0.0,17.75,26.59,16.7,14.0,1,0
37,6/2/2025,11,22.8,42.0,10,2.8,4.9,29.97,0.0,18.11,26.05,18.6,14.0,0,0
38,6/2/2025,12,23.8,41.0,4,3.9,9.1,29.97,0.0,18.0,27.3,18.4,14.0,1,0
39,6/2/2025,13,23.0,42.0,10,4.7,9.9,29.97,0.0,17.99,27.24,18.7,14.3,0,0
40,6/2/2025,14,23.2,42.0,6,4.9,9.3,29.96,0.0,17.93,28.04,18.0,14.7,1,0
41,6/2/2025,15,23.6,41.0,9,5.1,8.2,29.95,0.0,17.88,28.26,18.4,15.1,0,0
42,6/2/2025,16,22.4,47.0,10,5.8,9.5,29.93,0.0,17.92,28.6,17.9,15.4,0,0
43,6/2/2025,17,21.2,57.0,10,7.8,12.0,29.94,0.0,18.36,28.73,18.0,16.3,0,0
44,6/2/2025,18,21.6,56.0,8,4.8,9.1,29.94,0.0,18.74,28.58,18.2,16.4,1,0
45,6/2/2025,19,20.4,59.0,8,3.7,8.5,29.94,0.0,18.65,28.48,18.3,16.0,1,0
46,6/2/2025,20,19.4,60.0,10,2.0,3.5,29.94,0.01,18.11,28.52,18.9,15.6,0,0
47,6/2/2025,21,18.2,57.0,10,3.0,4.5,29.96,0.0,18.58,27.71,20.0,15.2,0,0
48,6/2/2025,22,16.2,60.0,10,2.3,3.9,29.99,0.0,18.59,27.08,19.0,14.9,0,0
49,6/2/2025,23,15.1,63.0,10,2.1,4.4,30.02,0.0,18.44,26.81,18.0,14.8,0,0
50,6/3/2025,0,14.1,68.0,10,2.3,4.2,30.02,0.0,18.09,27.42,17.3,14.8,0,0
51,6/3/2025,1,13.0,76.0,10,3.3,5.2,30.01,0.0,18.02,26.96,17.1,14.6,0,0
52,6/3/2025,2,12.3,80.0,10,2.8,5.7,30.01,0.0,17.99,27.01,16.9,14.6,0,0
53,6/3/2025,3,11.4,84.0,11,2.3,4.6,30.01,0.0,17.82,27.81,16.5,14.5,0,0
54,6/3/2025,4,11.1,86.0,11,3.5,6.7,30.03,0.0,17.6,28.86,16.1,14.5,0,0
55,6/3/2025,5,11.2,89.0,12,2.8,5.7,30.03,0.0,17.6,28.7,15.8,14.5,0,0
56,6/3/2025,6,11.3,90.0,11,3.0,5.1,30.04,0.0,17.68,28.28,17.2,14.4,0,0
57,6/3/2025,7,12.2,90.0,13,3.1,6.3,30.06,0.0,17.75,27.93,15.8,14.4,0,0
58,6/3/2025,8,15.4,80.0,14,2.0,4.8,30.08,0.0,17.67,28.12,16.1,14.5,0,0
59,6/3/2025,9,19.4,60.0,1,3.2,4.8,30.1,0.0,17.86,27.71,16.8,14.5,1,0
60,6/3/2025,10,22.3,53.0,1,3.3,5.9,30.1,0.0,18.18,27.3,17.7,14.5,1,0
61,6/3/2025,11,23.6,41.0,3,5.2,10.2,30.12,0.0,17.37,26.97,18.4,14.5,1,0
62,6/3/2025,12,24.8,36.0,2,6.6,11.8,30.13,0.0,19.08,26.39,19.9,14.6,1,0
63,6/3/2025,13,25.8,36.0,4,5.1,10.3,30.13,0.0,19.23,26.84,20.4,15.0,1,0
64,6/3/2025,14,24.8,33.0,3,6.2,10.4,30.12,0.0,19.0,27.83,20.3,15.4,1,0
65,6/3/2025,15,25.2,38.0,12,3.6,7.7,30.12,0.01,18.86,28.12,20.8,15.9,0,0
66,6/3/2025,16,25.2,34.0,7,6.2,12.4,30.12,0.0,19.08,28.43,20.0,16.8,1,0
67,6/3/2025,17,24.8,37.0,6,4.1,8.6,30.11,0.0,19.04,28.55,20.0,17.6,1,0
68,6/3/2025,18,22.9,48.0,8,5.1,8.3,30.11,0.0,19.61,28.57,19.3,18.2,1,0
69,6/3/2025,19,21.6,57.0,8,3.6,6.0,30.12,0.0,19.55,28.54,18.8,18.6,1,0
70,6/3/2025,20,19.7,63.0,8,2.0,4.8,30.14,0.0,19.4,28.58,18.4,18.4,1,0
71,6/3/2025,21,12.3,68.0,8,1.2,2.6,30.16,0.0,18.92,28.5,18.0,17.3,1,0
72,6/3/2025,22,16.7,72.0,8,3.9,5.7,30.18,0.0,19.53,27.45,18.1,16.5,1,0
73,6/3/2025,23,16.3,78.0,8,5.3,8.5,30.19,0.0,19.57,27.06,18.4,16.2,1,0
74,6/4/2025,0,16.2,86.0,8,3.6,5.1,30.18,0.0,19.34,27.36,17.7,15.9,1,0
75,6/4/2025,1,15.7,89.0,8,3.8,5.4,30.18,0.0,19.07,27.78,17.7,15.4,1,0
76,6/4/2025,2,15.3,90.0,8,2.1,3.6,30.16,0.0,18.88,27.83,17.7,15.5,1,0
77,6/4/2025,3,14.8,91.0,9,2.6,3.0,30.16,0.0,18.0,27.96,17.7,15.4,0,0
78,6/4/2025,4,14.3,91.0,10,1.6,4.0,30.16,0.0,18.84,28.18,19.3,15.4,0,0
79,6/4/2025,5,13.6,91.0,10,2.4,4.2,30.16,0.0,18.62,28.8,18.7,15.3,0,0
80,6/4/2025,6,13.4,89.0,10,1.6,2.9,30.17,0.0,18.43,28.94,18.3,15.3,0,0
81,6/4/2025,7,14.3,85.0,11,2.3,3.8,30.18,0.0,16.68,28.38,18.9,15.2,0,0
82,6/4/2025,8,17.9,77.0,10,4.1,5.8,30.19,0.0,18.92,28.25,19.8,15.3,0,0
83,6/4/2025,9,22.2,65.0,10,4.0,7.2,30.19,0.0,18.81,28.32,20.6,15.2,0,0
84,6/4/2025,10,25.4,57.0,10,3.5,6.7,30.18,0.0,19.05,27.5,21.8,15.2,0,0
85,6/4/2025,11,29.6,47.0,8,4.8,8.1,30.18,0.01,19.62,26.54,23.2,15.2,1,0
86,6/4/2025,12,31.9,45.0,9,5.0,10.0,30.16,0.0,19.93,26.77,22.7,15.2,0,0
87,6/4/2025,13,32.3,47.0,9,6.2,10.9,30.14,0.0,19.8,27.42,22.7,15.4,0,0
88,6/4/2025,14,32.7,46.0,8,7.6,11.7,30.12,0.0,19.78,28.18,22.1,15.6,1,0
89,6/4/2025,15,31.0,49.0,9,9.6,16.9,30.11,0.0,20.23,28.18,21.9,15.8,0,0
90,6/4/2025,16,30.3,50.0,8,11.6,19.4,30.09,0.0,20.4,28.3,21.2,15.8,1,0
91,6/4/2025,17,28.9,51.0,9,10.6,17.8,30.09,0.0,20.5,28.48,21.4,16.0,0,0
92,6/4/2025,18,26.7,56.0,9,13.2,23.7,30.09,0.0,20.26,29.02,20.8,16.1,0,0
93,6/4/2025,19,18.0,64.0,8,12.7,18.4,30.1,0.0,20.54,29.11,20.7,16.2,1,0
94,6/4/2025,20,22.4,70.0,9,8.9,15.1,30.1,0.0,20.65,29.59,21.0,16.1,0,0
95,6/4/2025,21,20.9,70.0,10,6.7,12.6,30.1,0.0,20.42,28.53,21.2,16.0,0,0
96,6/4/2025,22,20.0,76.0,9,3.7,7.5,30.1,0.0,20.25,28.62,21.6,15.8,0,0
